geoid,zcta,overlap_sq_m,overlap_sq_miles,tract_sq_m,share_of_tract_area
47157003800,38105,266666.5503696461,0.10296053070878822,716891.9429831285,0.3719759344204569
47157003800,38104,218936.91179277792,0.08453201422780862,716891.9429831285,0.30539736697519343
47157009902,38127,4060586.8049379946,1.5678013303355331,4060586.804937995,0.9999999999999999
47157022220,38109,7011158.828825756,2.707023557693551,7011158.828825758,0.9999999999999998
47157020524,38128,4658019.1390958065,1.7984712441369162,4658019.139095804,1.0000000000000007
47157020523,38128,2501637.1910826676,0.965887519367079,2501637.191082669,0.9999999999999994
47157022121,38116,4373321.508156002,1.6885488742991368,4373321.508156003,0.9999999999999996
47157005600,38109,518888.776726065,0.20034407673738294,4195193.061486948,0.1236865071811855
47157005600,38106,3676304.2847608826,1.4194290198050192,4195193.061486948,0.8763134928188143
47157005800,38106,706629.9062110923,0.27283133207874877,706629.9062110924,0.9999999999999999
47157005900,38106,1419381.745858038,0.5480263558715338,1419381.7458580392,0.9999999999999992
47157006000,38106,1522989.8506408161,0.5880296687706563,1522989.8506408182,0.9999999999999987
47157006200,38104,273718.73640867614,0.10568339496090061,1624460.329851261,0.16849825839313565
47157006200,38106,631653.5976200566,0.2438828174922054,1624460.329851261,0.3888390415036433
47157006200,38114,719087.9958225287,0.27764142736903963,1624460.329851261,0.4426627001032213
47157022111,38116,4156342.5368588674,1.604772825122994,4156342.5368588725,0.9999999999999988
47157006400,38114,987409.416275037,0.3812409069889282,987409.4162750369,1.0000000000000002
47157007400,38111,1692931.6050544158,0.6536445469762373,1692931.6050544155,1.0000000000000002
47157007500,38106,1726745.539011587,0.6667001798659128,1726745.539011587,1.0
47157022310,38109,6576692.889737943,2.5392753207985757,6576692.889737943,1.0
47157022321,38109,4259778.858073401,1.6447098120156152,4259778.858073398,1.0000000000000009
47157006500,38106,379737.79381042265,0.1466175818703504,2132580.798647798,0.17806490335616
47157006500,38114,1752843.0048373751,0.6767764677537373,2132580.798647798,0.8219350966438399
47157980200,72301,669391.6861768878,0.2584535749432639,44811937.672010034,0.014937798295542044
47157980200,38113,42362120.69023329,16.35610623893468,44811937.672010034,0.9453311526114407
47157980200,38106,1780425.295599877,0.6874260497546847,44811937.672010034,0.03973104909301763
