Estimate Year,Occupied housing units,RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER,One race --,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Hispanic or Latino origin,"White alone, not Hispanic or Latino",AGE OF HOUSEHOLDER,Under 35 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 to 84 years,85 years and over,EDUCATIONAL ATTAINMENT OF HOUSEHOLDER,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,YEAR HOUSEHOLDER MOVED INTO UNIT,Moved in 2015 or later,Moved in 2010 to 2014,Moved in 2000 to 2009,Moved in 1990 to 1999,Moved in 1980 to 1989,Moved in 1979 or earlier,Moved in 2017 or later,Moved in 2015 to 2016,Moved in 1989 or earlier,Moved in 2019 or later,Moved in 2015 to 2018,Moved in 2021 or later,Moved in 2018 to 2020,Moved in 2010 to 2017
2021,"1,094",,,225,302,28,313,0,176,50,230,177,,397,223,117,211,41,105,0,,152,269,256,417,,,337,164,100,,,,,38,105,350,,,
2021,"1,094",,,20.6%,27.6%,2.6%,28.6%,0.0%,16.1%,4.6%,21.0%,16.2%,,36.3%,20.4%,10.7%,19.3%,3.7%,9.6%,0.0%,,13.9%,24.6%,23.4%,38.1%,,,30.8%,15.0%,9.1%,,,,,3.5%,9.6%,32.0%,,,
2021,"1,561",,,570,314,0,426,35,119,97,174,518,,446,268,321,248,156,94,28,,214,175,436,736,,,320,389,150,,,,,142,141,419,,,
2021,"1,561",,,36.5%,20.1%,0.0%,27.3%,2.2%,7.6%,6.2%,11.1%,33.2%,,28.6%,17.2%,20.6%,15.9%,10.0%,6.0%,1.8%,,13.7%,11.2%,27.9%,47.1%,,,20.5%,24.9%,9.6%,,,,,9.1%,9.0%,26.8%,,,
2021,367.0,,,129.0,53.0,0.0,136.0,8.0,34.0,7.0,65.0,109.0,,27.0,19.0,114.0,77.0,55.0,47.0,28.0,,87.0,42.0,100.0,138.0,,,28.0,87.0,110.0,,,,,76.0,10.0,56.0,,,
2021,367,,,35.1%,14.4%,0.0%,37.1%,2.2%,9.3%,1.9%,17.7%,29.7%,,7.4%,5.2%,31.1%,21.0%,15.0%,12.8%,7.6%,,23.7%,11.4%,27.2%,37.6%,,,7.6%,23.7%,30.0%,,,,,20.7%,2.7%,15.3%,,,
2021,"1,194",,,441,261,0,290,27,85,90,109,409,,419,249,207,171,101,47,0,,127,133,336,598,,,292,302,40,,,,,66,131,363,,,
2021,"1,194",,,36.9%,21.9%,0.0%,24.3%,2.3%,7.1%,7.5%,9.1%,34.3%,,35.1%,20.9%,17.3%,14.3%,8.5%,3.9%,0.0%,,10.6%,11.1%,28.1%,50.1%,,,24.5%,25.3%,3.4%,,,,,5.5%,11.0%,30.4%,,,
2021,"1,453",,,589,317,48,266,0,80,153,261,456,,250,472,302,245,184,0,0,,185,153,229,886,,,568,282,152,,,,,83,135,233,,,
2021,"1,453",,,40.5%,21.8%,3.3%,18.3%,0.0%,5.5%,10.5%,18.0%,31.4%,,17.2%,32.5%,20.8%,16.9%,12.7%,0.0%,0.0%,,12.7%,10.5%,15.8%,61.0%,,,39.1%,19.4%,10.5%,,,,,5.7%,9.3%,16.0%,,,
2021,347.0,,,151.0,8.0,0.0,161.0,0.0,2.0,25.0,39.0,127.0,,20.0,65.0,98.0,94.0,70.0,0.0,0.0,,48.0,32.0,69.0,198.0,,,93.0,62.0,86.0,,,,,37.0,3.0,66.0,,,
2021,347,,,43.5%,2.3%,0.0%,46.4%,0.0%,0.6%,7.2%,11.2%,36.6%,,5.8%,18.7%,28.2%,27.1%,20.2%,0.0%,0.0%,,13.8%,9.2%,19.9%,57.1%,,,26.8%,17.9%,24.8%,,,,,10.7%,0.9%,19.0%,,,
2021,"1,106",,,438,309,48,105,0,78,128,222,329,,230,407,204,151,114,0,0,,137,121,160,688,,,475,220,66,,,,,46,132,167,,,
2021,"1,106",,,39.6%,27.9%,4.3%,9.5%,0.0%,7.1%,11.6%,20.1%,29.7%,,20.8%,36.8%,18.4%,13.7%,10.3%,0.0%,0.0%,,12.4%,10.9%,14.5%,62.2%,,,42.9%,19.9%,6.0%,,,,,4.2%,11.9%,15.1%,,,
2021,"1,497",,,321,562,10,351,0,160,93,214,272,,414,273,165,561,46,26,12,,119,256,631,491,,,286,279,77,,,,,101,112,642,,,
2021,"1,497",,,21.4%,37.5%,0.7%,23.4%,0.0%,10.7%,6.2%,14.3%,18.2%,,27.7%,18.2%,11.0%,37.5%,3.1%,1.7%,0.8%,,7.9%,17.1%,42.2%,32.8%,,,19.1%,18.6%,5.1%,,,,,6.7%,7.5%,42.9%,,,
2021,388.0,,,166.0,70.0,0.0,109.0,0.0,34.0,9.0,73.0,127.0,,66.0,67.0,75.0,119.0,35.0,26.0,0.0,,47.0,33.0,106.0,202.0,,,64.0,77.0,33.0,,,,,86.0,22.0,106.0,,,
2021,388,,,42.8%,18.0%,0.0%,28.1%,0.0%,8.8%,2.3%,18.8%,32.7%,,17.0%,17.3%,19.3%,30.7%,9.0%,6.7%,0.0%,,12.1%,8.5%,27.3%,52.1%,,,16.5%,19.8%,8.5%,,,,,22.2%,5.7%,27.3%,,,
2021,"1,109",,,155,492,10,242,0,126,84,141,145,,348,206,90,442,11,0,12,,72,223,525,289,,,222,202,44,,,,,15,90,536,,,
2021,"1,109",,,14.0%,44.4%,0.9%,21.8%,0.0%,11.4%,7.6%,12.7%,13.1%,,31.4%,18.6%,8.1%,39.9%,1.0%,0.0%,1.1%,,6.5%,20.1%,47.3%,26.1%,,,20.0%,18.2%,4.0%,,,,,1.4%,8.1%,48.3%,,,
2021,"1,362",,,234,320,12,564,0,119,113,188,198,,346,381,210,249,112,58,6,,257,329,366,410,,,378,289,108,,,,,88,69,430,,,
2021,"1,362",,,17.2%,23.5%,0.9%,41.4%,0.0%,8.7%,8.3%,13.8%,14.5%,,25.4%,28.0%,15.4%,18.3%,8.2%,4.3%,0.4%,,18.9%,24.2%,26.9%,30.1%,,,27.8%,21.2%,7.9%,,,,,6.5%,5.1%,31.6%,,,
2021,506.0,,,139.0,103.0,0.0,203.0,0.0,24.0,37.0,46.0,139.0,,45.0,156.0,61.0,134.0,79.0,25.0,6.0,,66.0,64.0,144.0,232.0,,,84.0,133.0,100.0,,,,,88.0,27.0,74.0,,,
2021,506,,,27.5%,20.4%,0.0%,40.1%,0.0%,4.7%,7.3%,9.1%,27.5%,,8.9%,30.8%,12.1%,26.5%,15.6%,4.9%,1.2%,,13.0%,12.6%,28.5%,45.8%,,,16.6%,26.3%,19.8%,,,,,17.4%,5.3%,14.6%,,,
2021,856.0,,,95.0,217.0,12.0,361.0,0.0,95.0,76.0,142.0,59.0,,301.0,225.0,149.0,115.0,33.0,33.0,0.0,,191.0,265.0,222.0,178.0,,,294.0,156.0,8.0,,,,,0.0,42.0,356.0,,,
2021,856,,,11.1%,25.4%,1.4%,42.2%,0.0%,11.1%,8.9%,16.6%,6.9%,,35.2%,26.3%,17.4%,13.4%,3.9%,3.9%,0.0%,,22.3%,31.0%,25.9%,20.8%,,,34.3%,18.2%,0.9%,,,,,0.0%,4.9%,41.6%,,,
2021,"1,111",,,139,167,0,402,25,224,154,454,42,,280,239,254,162,125,38,13,,319,382,263,147,,,250,193,92,,,,,148,128,300,,,
2021,"1,111",,,12.5%,15.0%,0.0%,36.2%,2.3%,20.2%,13.9%,40.9%,3.8%,,25.2%,21.5%,22.9%,14.6%,11.3%,3.4%,1.2%,,28.7%,34.4%,23.7%,13.2%,,,22.5%,17.4%,8.3%,,,,,13.3%,11.5%,27.0%,,,
2021,287.0,,,20.0,31.0,0.0,184.0,0.0,32.0,20.0,59.0,13.0,,56.0,28.0,77.0,36.0,64.0,13.0,13.0,,60.0,98.0,81.0,48.0,,,28.0,55.0,14.0,,,,,109.0,20.0,61.0,,,
2021,287,,,7.0%,10.8%,0.0%,64.1%,0.0%,11.1%,7.0%,20.6%,4.5%,,19.5%,9.8%,26.8%,12.5%,22.3%,4.5%,4.5%,,20.9%,34.1%,28.2%,16.7%,,,9.8%,19.2%,4.9%,,,,,38.0%,7.0%,21.3%,,,
2021,824.0,,,119.0,136.0,0.0,218.0,25.0,192.0,134.0,395.0,29.0,,224.0,211.0,177.0,126.0,61.0,25.0,0.0,,259.0,284.0,182.0,99.0,,,222.0,138.0,78.0,,,,,39.0,108.0,239.0,,,
2021,824,,,14.4%,16.5%,0.0%,26.5%,3.0%,23.3%,16.3%,47.9%,3.5%,,27.2%,25.6%,21.5%,15.3%,7.4%,3.0%,0.0%,,31.4%,34.5%,22.1%,12.0%,,,26.9%,16.7%,9.5%,,,,,4.7%,13.1%,29.0%,,,
2021,941.0,,,167.0,166.0,18.0,355.0,0.0,175.0,60.0,233.0,135.0,,272.0,169.0,133.0,161.0,132.0,52.0,22.0,,263.0,140.0,246.0,292.0,,,253.0,169.0,88.0,,,,,63.0,66.0,302.0,,,
2021,941,,,17.7%,17.6%,1.9%,37.7%,0.0%,18.6%,6.4%,24.8%,14.3%,,28.9%,18.0%,14.1%,17.1%,14.0%,5.5%,2.3%,,27.9%,14.9%,26.1%,31.0%,,,26.9%,18.0%,9.4%,,,,,6.7%,7.0%,32.1%,,,
2021,318.0,,,120.0,47.0,5.0,127.0,0.0,15.0,4.0,37.0,98.0,,74.0,41.0,50.0,47.0,68.0,16.0,22.0,,64.0,60.0,65.0,129.0,,,12.0,72.0,62.0,,,,,63.0,0.0,109.0,,,
2021,318,,,37.7%,14.8%,1.6%,39.9%,0.0%,4.7%,1.3%,11.6%,30.8%,,23.3%,12.9%,15.7%,14.8%,21.4%,5.0%,6.9%,,20.1%,18.9%,20.4%,40.6%,,,3.8%,22.6%,19.5%,,,,,19.8%,0.0%,34.3%,,,
2021,623.0,,,47.0,119.0,13.0,228.0,0.0,160.0,56.0,196.0,37.0,,198.0,128.0,83.0,114.0,64.0,36.0,0.0,,199.0,80.0,181.0,163.0,,,241.0,97.0,26.0,,,,,0.0,66.0,193.0,,,
2021,623,,,7.5%,19.1%,2.1%,36.6%,0.0%,25.7%,9.0%,31.5%,5.9%,,31.8%,20.5%,13.3%,18.3%,10.3%,5.8%,0.0%,,31.9%,12.8%,29.1%,26.2%,,,38.7%,15.6%,4.2%,,,,,0.0%,10.6%,31.0%,,,
2021,"1,728",,,593,279,17,565,14,188,72,285,499,,344,300,411,281,138,104,150,,425,195,401,707,,,435,326,172,,,,,198,161,436,,,
2021,"1,728",,,34.3%,16.1%,1.0%,32.7%,0.8%,10.9%,4.2%,16.5%,28.9%,,19.9%,17.4%,23.8%,16.3%,8.0%,6.0%,8.7%,,24.6%,11.3%,23.2%,40.9%,,,25.2%,18.9%,10.0%,,,,,11.5%,9.3%,25.2%,,,
2021,276.0,,,76.0,0.0,0.0,193.0,0.0,0.0,7.0,0.0,76.0,,0.0,45.0,73.0,45.0,37.0,8.0,68.0,,33.0,27.0,125.0,91.0,,,17.0,37.0,44.0,,,,,93.0,0.0,85.0,,,
2021,276,,,27.5%,0.0%,0.0%,69.9%,0.0%,0.0%,2.5%,0.0%,27.5%,,0.0%,16.3%,26.4%,16.3%,13.4%,2.9%,24.6%,,12.0%,9.8%,45.3%,33.0%,,,6.2%,13.4%,15.9%,,,,,33.7%,0.0%,30.8%,,,
2021,"1,452",,,517,279,17,372,14,188,65,285,423,,344,255,338,236,101,96,82,,392,168,276,616,,,418,289,128,,,,,105,161,351,,,
2021,"1,452",,,35.6%,19.2%,1.2%,25.6%,1.0%,12.9%,4.5%,19.6%,29.1%,,23.7%,17.6%,23.3%,16.3%,7.0%,6.6%,5.6%,,27.0%,11.6%,19.0%,42.4%,,,28.8%,19.9%,8.8%,,,,,7.2%,11.1%,24.2%,,,
2022,"2,292",,,"1,089",403,0,540,0,52,208,203,"1,007",,594,463,376,295,336,182,46,,127,237,381,"1,547",,,,438,201,,,,,264,,,130,307,952
2022,"2,292",,,47.5%,17.6%,0.0%,23.6%,0.0%,2.3%,9.1%,8.9%,43.9%,,25.9%,20.2%,16.4%,12.9%,14.7%,7.9%,2.0%,,5.5%,10.3%,16.6%,67.5%,,,,19.1%,8.8%,,,,,11.5%,,,5.7%,13.4%,41.5%
2022,587.0,,,293.0,20.0,0.0,220.0,0.0,12.0,42.0,40.0,280.0,,69.0,20.0,173.0,82.0,154.0,58.0,31.0,,70.0,84.0,136.0,297.0,,,,167.0,49.0,,,,,166.0,,,12.0,5.0,188.0
2022,587,,,49.9%,3.4%,0.0%,37.5%,0.0%,2.0%,7.2%,6.8%,47.7%,,11.8%,3.4%,29.5%,14.0%,26.2%,9.9%,5.3%,,11.9%,14.3%,23.2%,50.6%,,,,28.4%,8.3%,,,,,28.3%,,,2.0%,0.9%,32.0%
2022,"1,705",,,796,383,0,320,0,40,166,163,727,,525,443,203,213,182,124,15,,57,153,245,"1,250",,,,271,152,,,,,98,,,118,302,764
2022,"1,705",,,46.7%,22.5%,0.0%,18.8%,0.0%,2.3%,9.7%,9.6%,42.6%,,30.8%,26.0%,11.9%,12.5%,10.7%,7.3%,0.9%,,3.3%,9.0%,14.4%,73.3%,,,,15.9%,8.9%,,,,,5.7%,,,6.9%,17.7%,44.8%
2022,"1,479",,,802,233,0,215,5,55,169,222,760,,449,484,199,147,155,45,0,,100,23,204,"1,152",,,,213,87,,,,,94,,,125,345,615
2022,"1,479",,,54.2%,15.8%,0.0%,14.5%,0.3%,3.7%,11.4%,15.0%,51.4%,,30.4%,32.7%,13.5%,9.9%,10.5%,3.0%,0.0%,,6.8%,1.6%,13.8%,77.9%,,,,14.4%,5.9%,,,,,6.4%,,,8.5%,23.3%,41.6%
2022,147.0,,,73.0,8.0,0.0,37.0,0.0,0.0,29.0,0.0,73.0,,8.0,29.0,0.0,19.0,74.0,17.0,0.0,,22.0,0.0,27.0,98.0,,,,0.0,40.0,,,,,22.0,,,8.0,0.0,77.0
2022,147,,,49.7%,5.4%,0.0%,25.2%,0.0%,0.0%,19.7%,0.0%,49.7%,,5.4%,19.7%,0.0%,12.9%,50.3%,11.6%,0.0%,,15.0%,0.0%,18.4%,66.7%,,,,0.0%,27.2%,,,,,15.0%,,,5.4%,0.0%,52.4%
2022,"1,332",,,729,225,0,178,5,55,140,222,687,,441,455,199,128,81,28,0,,78,23,177,"1,054",,,,213,47,,,,,72,,,117,345,538
2022,"1,332",,,54.7%,16.9%,0.0%,13.4%,0.4%,4.1%,10.5%,16.7%,51.6%,,33.1%,34.2%,14.9%,9.6%,6.1%,2.1%,0.0%,,5.9%,1.7%,13.3%,79.1%,,,,16.0%,3.5%,,,,,5.4%,,,8.8%,25.9%,40.4%
2022,"1,539",,,543,452,13,434,0,29,68,61,535,,611,234,124,202,206,119,43,,144,134,290,971,,,,159,89,,,,,33,,,219,399,640
2022,"1,539",,,35.3%,29.4%,0.8%,28.2%,0.0%,1.9%,4.4%,4.0%,34.8%,,39.7%,15.2%,8.1%,13.1%,13.4%,7.7%,2.8%,,9.4%,8.7%,18.8%,63.1%,,,,10.3%,5.8%,,,,,2.1%,,,14.2%,25.9%,41.6%
2022,126.0,,,24.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,24.0,,29.0,0.0,37.0,34.0,26.0,0.0,0.0,,8.0,0.0,43.0,75.0,,,,25.0,27.0,,,,,0.0,,,0.0,44.0,30.0
2022,126,,,19.0%,0.0%,0.0%,81.0%,0.0%,0.0%,0.0%,0.0%,19.0%,,23.0%,0.0%,29.4%,27.0%,20.6%,0.0%,0.0%,,6.3%,0.0%,34.1%,59.5%,,,,19.8%,21.4%,,,,,0.0%,,,0.0%,34.9%,23.8%
2022,"1,413",,,519,452,13,332,0,29,68,61,511,,582,234,87,168,180,119,43,,136,134,247,896,,,,134,62,,,,,33,,,219,355,610
2022,"1,413",,,36.7%,32.0%,0.9%,23.5%,0.0%,2.1%,4.8%,4.3%,36.2%,,41.2%,16.6%,6.2%,11.9%,12.7%,8.4%,3.0%,,9.6%,9.5%,17.5%,63.4%,,,,9.5%,4.4%,,,,,2.3%,,,15.5%,25.1%,43.2%
2022,"1,584",,,556,267,8,443,0,229,81,303,502,,529,391,227,160,235,21,21,,186,141,495,762,,,,303,70,,,,,54,,,186,249,722
2022,"1,584",,,35.1%,16.9%,0.5%,28.0%,0.0%,14.5%,5.1%,19.1%,31.7%,,33.4%,24.7%,14.3%,10.1%,14.8%,1.3%,1.3%,,11.7%,8.9%,31.3%,48.1%,,,,19.1%,4.4%,,,,,3.4%,,,11.7%,15.7%,45.6%
2022,156.0,,,18.0,24.0,0.0,114.0,0.0,0.0,0.0,0.0,18.0,,8.0,9.0,45.0,37.0,46.0,0.0,11.0,,20.0,11.0,42.0,83.0,,,,51.0,26.0,,,,,41.0,,,0.0,10.0,28.0
2022,156,,,11.5%,15.4%,0.0%,73.1%,0.0%,0.0%,0.0%,0.0%,11.5%,,5.1%,5.8%,28.8%,23.7%,29.5%,0.0%,7.1%,,12.8%,7.1%,26.9%,53.2%,,,,32.7%,16.7%,,,,,26.3%,,,0.0%,6.4%,17.9%
2022,"1,428",,,538,243,8,329,0,229,81,303,484,,521,382,182,123,189,21,10,,166,130,453,679,,,,252,44,,,,,13,,,186,239,694
2022,"1,428",,,37.7%,17.0%,0.6%,23.0%,0.0%,16.0%,5.7%,21.2%,33.9%,,36.5%,26.8%,12.7%,8.6%,13.2%,1.5%,0.7%,,11.6%,9.1%,31.7%,47.5%,,,,17.6%,3.1%,,,,,0.9%,,,13.0%,16.7%,48.6%
2022,"1,232",,,246,303,6,448,0,203,26,209,217,,389,260,141,196,79,144,23,,199,297,299,437,,,,215,134,,,,,95,,,59,171,558
2022,"1,232",,,20.0%,24.6%,0.5%,36.4%,0.0%,16.5%,2.1%,17.0%,17.6%,,31.6%,21.1%,11.4%,15.9%,6.4%,11.7%,1.9%,,16.2%,24.1%,24.3%,35.5%,,,,17.5%,10.9%,,,,,7.7%,,,4.8%,13.9%,45.3%
2022,125.0,,,29.0,0.0,0.0,85.0,0.0,11.0,0.0,11.0,29.0,,28.0,40.0,6.0,28.0,0.0,0.0,23.0,,28.0,13.0,29.0,55.0,,,,14.0,26.0,,,,,54.0,,,0.0,0.0,31.0
2022,125,,,23.2%,0.0%,0.0%,68.0%,0.0%,8.8%,0.0%,8.8%,23.2%,,22.4%,32.0%,4.8%,22.4%,0.0%,0.0%,18.4%,,22.4%,10.4%,23.2%,44.0%,,,,11.2%,20.8%,,,,,43.2%,,,0.0%,0.0%,24.8%
2022,"1,107",,,217,303,6,363,0,192,26,198,188,,361,220,135,168,79,144,0,,171,284,270,382,,,,201,108,,,,,41,,,59,171,527
2022,"1,107",,,19.6%,27.4%,0.5%,32.8%,0.0%,17.3%,2.3%,17.9%,17.0%,,32.6%,19.9%,12.2%,15.2%,7.1%,13.0%,0.0%,,15.4%,25.7%,24.4%,34.5%,,,,18.2%,9.8%,,,,,3.7%,,,5.3%,15.4%,47.6%
2022,"1,610",,,433,365,0,478,22,138,174,189,421,,422,297,283,280,162,158,8,,198,225,399,788,,,,399,155,,,,,196,,,104,191,565
2022,"1,610",,,26.9%,22.7%,0.0%,29.7%,1.4%,8.6%,10.8%,11.7%,26.1%,,26.2%,18.4%,17.6%,17.4%,10.1%,9.8%,0.5%,,12.3%,14.0%,24.8%,48.9%,,,,24.8%,9.6%,,,,,12.2%,,,6.5%,11.9%,35.1%
2022,405.0,,,137.0,43.0,0.0,176.0,0.0,38.0,11.0,49.0,137.0,,31.0,53.0,92.0,80.0,38.0,103.0,8.0,,65.0,51.0,72.0,217.0,,,,93.0,83.0,,,,,111.0,,,11.0,45.0,62.0
2022,405,,,33.8%,10.6%,0.0%,43.5%,0.0%,9.4%,2.7%,12.1%,33.8%,,7.7%,13.1%,22.7%,19.8%,9.4%,25.4%,2.0%,,16.0%,12.6%,17.8%,53.6%,,,,23.0%,20.5%,,,,,27.4%,,,2.7%,11.1%,15.3%
2022,"1,205",,,296,322,0,302,22,100,163,140,284,,391,244,191,200,124,55,0,,133,174,327,571,,,,306,72,,,,,85,,,93,146,503
2022,"1,205",,,24.6%,26.7%,0.0%,25.1%,1.8%,8.3%,13.5%,11.6%,23.6%,,32.4%,20.2%,15.9%,16.6%,10.3%,4.6%,0.0%,,11.0%,14.4%,27.1%,47.4%,,,,25.4%,6.0%,,,,,7.1%,,,7.7%,12.1%,41.7%
2022,"1,447",,,649,318,32,239,0,57,152,237,541,,272,432,272,274,186,0,11,,167,136,208,936,,,,293,101,,,,,55,,,88,215,695
2022,"1,447",,,44.9%,22.0%,2.2%,16.5%,0.0%,3.9%,10.5%,16.4%,37.4%,,18.8%,29.9%,18.8%,18.9%,12.9%,0.0%,0.8%,,11.5%,9.4%,14.4%,64.7%,,,,20.2%,7.0%,,,,,3.8%,,,6.1%,14.9%,48.0%
2022,378.0,,,169.0,8.0,0.0,164.0,0.0,5.0,32.0,48.0,148.0,,16.0,77.0,100.0,113.0,61.0,0.0,11.0,,80.0,31.0,75.0,192.0,,,,52.0,57.0,,,,,36.0,,,22.0,11.0,200.0
2022,378,,,44.7%,2.1%,0.0%,43.4%,0.0%,1.3%,8.5%,12.7%,39.2%,,4.2%,20.4%,26.5%,29.9%,16.1%,0.0%,2.9%,,21.2%,8.2%,19.8%,50.8%,,,,13.8%,15.1%,,,,,9.5%,,,5.8%,2.9%,52.9%
2022,"1,069",,,480,310,32,75,0,52,120,189,393,,256,355,172,161,125,0,0,,87,105,133,744,,,,241,44,,,,,19,,,66,204,495
2022,"1,069",,,44.9%,29.0%,3.0%,7.0%,0.0%,4.9%,11.2%,17.7%,36.8%,,23.9%,33.2%,16.1%,15.1%,11.7%,0.0%,0.0%,,8.1%,9.8%,12.4%,69.6%,,,,22.5%,4.1%,,,,,1.8%,,,6.2%,19.1%,46.3%
2022,"1,505",,,321,556,27,315,0,169,117,237,276,,412,233,184,559,58,59,0,,99,286,589,531,,,,203,99,,,,,82,,,97,290,734
2022,"1,505",,,21.3%,36.9%,1.8%,20.9%,0.0%,11.2%,7.8%,15.7%,18.3%,,27.4%,15.5%,12.2%,37.1%,3.9%,3.9%,0.0%,,6.6%,19.0%,39.1%,35.3%,,,,13.5%,6.6%,,,,,5.4%,,,6.4%,19.3%,48.8%
2022,463.0,,,181.0,69.0,13.0,132.0,0.0,39.0,29.0,86.0,147.0,,100.0,77.0,60.0,133.0,46.0,47.0,0.0,,34.0,35.0,119.0,275.0,,,,63.0,64.0,,,,,75.0,,,68.0,61.0,132.0
2022,463,,,39.1%,14.9%,2.8%,28.5%,0.0%,8.4%,6.3%,18.6%,31.7%,,21.6%,16.6%,13.0%,28.7%,9.9%,10.2%,0.0%,,7.3%,7.6%,25.7%,59.4%,,,,13.6%,13.8%,,,,,16.2%,,,14.7%,13.2%,28.5%
2022,"1,042",,,140,487,14,183,0,130,88,151,129,,312,156,124,426,12,12,0,,65,251,470,256,,,,140,35,,,,,7,,,29,229,602
2022,"1,042",,,13.4%,46.7%,1.3%,17.6%,0.0%,12.5%,8.4%,14.5%,12.4%,,29.9%,15.0%,11.9%,40.9%,1.2%,1.2%,0.0%,,6.2%,24.1%,45.1%,24.6%,,,,13.4%,3.4%,,,,,0.7%,,,2.8%,22.0%,57.8%
2022,"1,342",,,238,331,11,521,0,159,82,203,216,,306,439,197,180,125,95,0,,268,353,318,403,,,,290,74,,,,,105,,,87,208,578
2022,"1,342",,,17.7%,24.7%,0.8%,38.8%,0.0%,11.8%,6.1%,15.1%,16.1%,,22.8%,32.7%,14.7%,13.4%,9.3%,7.1%,0.0%,,20.0%,26.3%,23.7%,30.0%,,,,21.6%,5.5%,,,,,7.8%,,,6.5%,15.5%,43.1%
2022,479.0,,,166.0,88.0,0.0,144.0,0.0,54.0,27.0,76.0,166.0,,41.0,212.0,52.0,85.0,69.0,20.0,0.0,,34.0,79.0,127.0,239.0,,,,112.0,53.0,,,,,97.0,,,0.0,58.0,159.0
2022,479,,,34.7%,18.4%,0.0%,30.1%,0.0%,11.3%,5.6%,15.9%,34.7%,,8.6%,44.3%,10.9%,17.7%,14.4%,4.2%,0.0%,,7.1%,16.5%,26.5%,49.9%,,,,23.4%,11.1%,,,,,20.3%,,,0.0%,12.1%,33.2%
2022,863.0,,,72.0,243.0,11.0,377.0,0.0,105.0,55.0,127.0,50.0,,265.0,227.0,145.0,95.0,56.0,75.0,0.0,,234.0,274.0,191.0,164.0,,,,178.0,21.0,,,,,8.0,,,87.0,150.0,419.0
2022,863,,,8.3%,28.2%,1.3%,43.7%,0.0%,12.2%,6.4%,14.7%,5.8%,,30.7%,26.3%,16.8%,11.0%,6.5%,8.7%,0.0%,,27.1%,31.7%,22.1%,19.0%,,,,20.6%,2.4%,,,,,0.9%,,,10.1%,17.4%,48.6%
2022,"1,089",,,122,214,16,382,34,148,173,290,88,,307,234,230,142,109,43,24,,198,387,310,194,,,,186,30,,,,,129,,,56,345,343
2022,"1,089",,,11.2%,19.7%,1.5%,35.1%,3.1%,13.6%,15.9%,26.6%,8.1%,,28.2%,21.5%,21.1%,13.0%,10.0%,3.9%,2.2%,,18.2%,35.5%,28.5%,17.8%,,,,17.1%,2.8%,,,,,11.8%,,,5.1%,31.7%,31.5%
2022,276.0,,,59.0,26.0,16.0,159.0,0.0,11.0,5.0,24.0,51.0,,28.0,46.0,83.0,29.0,53.0,13.0,24.0,,51.0,73.0,101.0,51.0,,,,52.0,20.0,,,,,97.0,,,9.0,58.0,40.0
2022,276,,,21.4%,9.4%,5.8%,57.6%,0.0%,4.0%,1.8%,8.7%,18.5%,,10.1%,16.7%,30.1%,10.5%,19.2%,4.7%,8.7%,,18.5%,26.4%,36.6%,18.5%,,,,18.8%,7.2%,,,,,35.1%,,,3.3%,21.0%,14.5%
2022,813.0,,,63.0,188.0,0.0,223.0,34.0,137.0,168.0,266.0,37.0,,279.0,188.0,147.0,113.0,56.0,30.0,0.0,,147.0,314.0,209.0,143.0,,,,134.0,10.0,,,,,32.0,,,47.0,287.0,303.0
2022,813,,,7.7%,23.1%,0.0%,27.4%,4.2%,16.9%,20.7%,32.7%,4.6%,,34.3%,23.1%,18.1%,13.9%,6.9%,3.7%,0.0%,,18.1%,38.6%,25.7%,17.6%,,,,16.5%,1.2%,,,,,3.9%,,,5.8%,35.3%,37.3%
2022,923.0,,,143.0,128.0,20.0,365.0,0.0,199.0,68.0,259.0,125.0,,285.0,195.0,96.0,171.0,125.0,38.0,13.0,,236.0,204.0,204.0,279.0,,,,167.0,95.0,,,,,40.0,,,21.0,180.0,420.0
2022,923,,,15.5%,13.9%,2.2%,39.5%,0.0%,21.6%,7.4%,28.1%,13.5%,,30.9%,21.1%,10.4%,18.5%,13.5%,4.1%,1.4%,,25.6%,22.1%,22.1%,30.2%,,,,18.1%,10.3%,,,,,4.3%,,,2.3%,19.5%,45.5%
2022,360.0,,,97.0,22.0,3.0,172.0,0.0,48.0,18.0,74.0,79.0,,58.0,85.0,48.0,75.0,61.0,20.0,13.0,,97.0,70.0,69.0,124.0,,,,120.0,73.0,,,,,40.0,,,21.0,15.0,91.0
2022,360,,,26.9%,6.1%,0.8%,47.8%,0.0%,13.3%,5.0%,20.6%,21.9%,,16.1%,23.6%,13.3%,20.8%,16.9%,5.6%,3.6%,,26.9%,19.4%,19.2%,34.4%,,,,33.3%,20.3%,,,,,11.1%,,,5.8%,4.2%,25.3%
2022,563.0,,,46.0,106.0,17.0,193.0,0.0,151.0,50.0,185.0,46.0,,227.0,110.0,48.0,96.0,64.0,18.0,0.0,,139.0,134.0,135.0,155.0,,,,47.0,22.0,,,,,0.0,,,0.0,165.0,329.0
