Estimate Year,Occupied housing units,RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER,One race --,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Hispanic or Latino origin,"White alone, not Hispanic or Latino",AGE OF HOUSEHOLDER,Under 35 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 to 84 years,85 years and over,EDUCATIONAL ATTAINMENT OF HOUSEHOLDER,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,YEAR HOUSEHOLDER MOVED INTO UNIT,Moved in 2015 or later,Moved in 2010 to 2014,Moved in 2000 to 2009,Moved in 1990 to 1999,Moved in 1980 to 1989,Moved in 1979 or earlier,Moved in 2017 or later,Moved in 2015 to 2016,Moved in 1989 or earlier,Moved in 2019 or later,Moved in 2015 to 2018,Moved in 2021 or later,Moved in 2018 to 2020,Moved in 2010 to 2017
2018,"1,441",,,51.4%,24.2%,0.0%,9.6%,0.6%,7.7%,6.5%,13.3%,48.2%,,30.0%,28.5%,21.0%,7.9%,9.7%,2.9%,0.0%,,5.0%,2.7%,22.4%,69.9%,,,48.8%,23.6%,7.7%,,,8.5%,10.2%,1.2%,,,,,
2018,"1,401",,,670,169,8,443,0,55,56,142,576,,448,271,126,242,129,121,64,,269,51,396,685,,,619,348,101,,,77,201,55,,,,,
2018,"1,401",,,47.8%,12.1%,0.6%,31.6%,0.0%,3.9%,4.0%,10.1%,41.1%,,32.0%,19.3%,9.0%,17.3%,9.2%,8.6%,4.6%,,19.2%,3.6%,28.3%,48.9%,,,44.2%,24.8%,7.2%,,,5.5%,14.3%,3.9%,,,,,
2018,86.0,,,42.0,0.0,0.0,44.0,0.0,0.0,0.0,18.0,24.0,,0.0,0.0,0.0,34.0,16.0,31.0,5.0,,36.0,0.0,34.0,16.0,,,8.0,11.0,8.0,,,16.0,0.0,43.0,,,,,
2018,86,,,48.8%,0.0%,0.0%,51.2%,0.0%,0.0%,0.0%,20.9%,27.9%,,0.0%,0.0%,0.0%,39.5%,18.6%,36.0%,5.8%,,41.9%,0.0%,39.5%,18.6%,,,9.3%,12.8%,9.3%,,,18.6%,0.0%,50.0%,,,,,
2018,"1,315",,,628,169,8,399,0,55,56,124,552,,448,271,126,208,113,90,59,,233,51,362,669,,,611,337,93,,,61,201,12,,,,,
2018,"1,315",,,47.8%,12.9%,0.6%,30.3%,0.0%,4.2%,4.3%,9.4%,42.0%,,34.1%,20.6%,9.6%,15.8%,8.6%,6.8%,4.5%,,17.7%,3.9%,27.5%,50.9%,,,46.5%,25.6%,7.1%,,,4.6%,15.3%,0.9%,,,,,
2018,"1,730",,,410,416,0,524,0,242,138,262,335,,621,323,315,216,192,44,19,,259,224,694,553,,,865,276,161,,,54,209,165,,,,,
2018,"1,730",,,23.7%,24.0%,0.0%,30.3%,0.0%,14.0%,8.0%,15.1%,19.4%,,35.9%,18.7%,18.2%,12.5%,11.1%,2.5%,1.1%,,15.0%,12.9%,40.1%,32.0%,,,50.0%,16.0%,9.3%,,,3.1%,12.1%,9.5%,,,,,
2018,254.0,,,51.0,25.0,0.0,157.0,0.0,0.0,21.0,10.0,41.0,,11.0,37.0,85.0,33.0,55.0,14.0,19.0,,90.0,14.0,54.0,96.0,,,30.0,17.0,68.0,,,0.0,10.0,129.0,,,,,
2018,254,,,20.1%,9.8%,0.0%,61.8%,0.0%,0.0%,8.3%,3.9%,16.1%,,4.3%,14.6%,33.5%,13.0%,21.7%,5.5%,7.5%,,35.4%,5.5%,21.3%,37.8%,,,11.8%,6.7%,26.8%,,,0.0%,3.9%,50.8%,,,,,
2018,"1,476",,,359,391,0,367,0,242,117,252,294,,610,286,230,183,137,30,0,,169,210,640,457,,,835,259,93,,,54,199,36,,,,,
2018,"1,476",,,24.3%,26.5%,0.0%,24.9%,0.0%,16.4%,7.9%,17.1%,19.9%,,41.3%,19.4%,15.6%,12.4%,9.3%,2.0%,0.0%,,11.4%,14.2%,43.4%,31.0%,,,56.6%,17.5%,6.3%,,,3.7%,13.5%,2.4%,,,,,
2018,"1,167",,,278,377,43,292,19,112,46,210,232,,331,372,194,208,17,35,10,,197,186,384,400,,,596,203,67,,,49,191,61,,,,,
2018,"1,167",,,23.8%,32.3%,3.7%,25.0%,1.6%,9.6%,3.9%,18.0%,19.9%,,28.4%,31.9%,16.6%,17.8%,1.5%,3.0%,0.9%,,16.9%,15.9%,32.9%,34.3%,,,51.1%,17.4%,5.7%,,,4.2%,16.4%,5.2%,,,,,
